page,edit_id,timestamp,summary
[[en:User talk:Kinu/Archive 11]],460145096,2011-11-11T16:11:19Z,/* Fixing unblock template at User talk:Interface Designer  */
[[en:User talk:Difluoroethene]],460144472,2011-11-11T16:06:17Z,[[WP:AES|←]]Replaced content with '{{retired}}'
[[en:User:Difluoroethene]],460144389,2011-11-11T16:05:40Z,
[[en:Nationwide opinion polling for the Republican Party 2012 presidential primaries]],460144214,2011-11-11T16:04:13Z,"I'm intrigued by ""Someone else"" getting 14%....do those people support Gary Johnson, Fred Karger, Buddy Roemer, Andy Martin or another longshot? Looks like we might have a surprise on our hands next January."
"[[en:Nationwide opinion polling for the United States presidential election, 2012]]",459809514,2011-11-09T15:09:12Z,/* Three-way race */
[[en:Bibleman]],459807271,2011-11-09T14:52:59Z,
[[en:Béziers]],459744276,2011-11-09T03:12:49Z,/* The massacre of Béziers */ Surely the massacre didn't happen this year...
[[en:Belinda Carlisle]],459743247,2011-11-09T03:04:32Z,
[[en:Watch the World Die]],459742640,2011-11-09T02:59:30Z,[[WP:AES|←]]Redirected page to [[Santa Monica (Everclear song)]]
[[en:Frogger II: ThreeeDeep!]],459712061,2011-11-08T23:14:18Z,
[[en:The Merchants' War (Pohl novel)]],459711816,2011-11-08T23:12:32Z,
[[en:Gulden's]],459711494,2011-11-08T23:10:09Z,
[[en:Amora (mustard)]],459711434,2011-11-08T23:09:41Z,
[[en:Mostarda]],459711237,2011-11-08T23:08:20Z,
[[en:Lead selenide]],459709700,2011-11-08T22:58:22Z,"union of the elements, in what way?"
[[en:Governor of the Virgin Islands]],459708868,2011-11-08T22:52:20Z,
[[en:Mount Sage National Park]],459708759,2011-11-08T22:51:48Z,
[[en:Tortola]],459708709,2011-11-08T22:51:30Z,
[[en:Chedra]],459708543,2011-11-08T22:50:22Z,
[[en:Ifeda]],459708507,2011-11-08T22:50:09Z,
[[en:Homaledra]],459708473,2011-11-08T22:49:58Z,
[[en:Duospina]],459708443,2011-11-08T22:49:47Z,
[[en:Injured in the Game of Love]],459649788,2011-11-08T16:34:56Z,
[[en:Do You Compute?]],459649740,2011-11-08T16:34:31Z,
[[en:Tough World]],459649683,2011-11-08T16:34:07Z,
[[en:Sweet Merilee]],459649592,2011-11-08T16:33:23Z,
[[en:I Can't Hear You (Donnie Iris song)]],459649497,2011-11-08T16:32:47Z,
[[en:Ah! Leah!]],459649447,2011-11-08T16:32:23Z,
[[en:My Girl (Donnie Iris song)]],459649347,2011-11-08T16:31:39Z,
"[[en:Herman Cain presidential campaign, 2012]]",459581787,2011-11-08T05:02:49Z,/* Sexual harassment claims */
"[[en:Herman Cain presidential campaign, 2012]]",459581710,2011-11-08T05:02:02Z,"/* Sexual harassment claims */ Another one, not technically sexual harrasment, but an allegation of infidelity and irresponsible behavior on Cain's part."
[[en:2011 Georgia terrorist plot]],459573654,2011-11-08T03:47:48Z,"They don't seem that dumb to me; Crump was a former CDC employee. The plot has also been _widely_ covered, as a GNews search makes clear."
[[en:Larry Taylor (disambiguation)]],459452737,2011-11-07T13:21:11Z,
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",459452232,2011-11-07T13:16:33Z,"/* November 5, 2011, Illinois - Illinois Straw Poll */"
[[en:51st state]],459356173,2011-11-06T21:46:27Z,/* Poland */
[[en:Jew down]],459345476,2011-11-06T20:36:48Z,[[WP:AES|←]]Redirected page to [[Economic antisemitism#Allegations of unethical business practices]]
[[en:Larry Taylor (politician)]],459337913,2011-11-06T19:51:03Z,
[[en:Larry Taylor (politician)]],459337113,2011-11-06T19:45:56Z,[[WP:AES|←]]Created page with ''''Larry Taylor''' is a Republican member of the Texas state House of Representatives. He is considered a favorite to be elected to the Texas state senate in 201...'
"[[en:United States presidential election, 2012]]",459189330,2011-11-05T20:24:26Z,/* Democratic Party */
[[en:Wikipedia:Articles for deletion/Darcy G. Richardson]],459188975,2011-11-05T20:21:52Z,
[[en:Talk:Political positions of Herman Cain]],459162848,2011-11-05T17:27:33Z,/* sharia law */ [[WP: NOTFORUM]]
[[en:Political positions of Herman Cain]],459162486,2011-11-05T17:24:43Z,/* Supreme Court justices */
[[en:Born in the U.S.A. (song)]],459161183,2011-11-05T17:14:24Z,/* Music video */
[[en:Born in the U.S.A. (song)]],459161142,2011-11-05T17:14:05Z,/* Remixes */
[[en:Porn in the USA]],459160953,2011-11-05T17:12:23Z,[[WP:AES|←]]Redirected page to [[Pornography in the United States]]
[[en:Takin' It to the Streets (song)]],459160768,2011-11-05T17:11:04Z,
[[en:Cain Train]],459087792,2011-11-05T04:32:05Z,"[[WP:AES|←]]Redirected page to [[Herman Cain presidential campaign, 2012]]"
[[en:Tsagaan Khas]],459087485,2011-11-05T04:28:10Z,
[[en:Homo (disambiguation)]],459087218,2011-11-05T04:24:23Z,
[[en:Talk:Patrol 36]],459087052,2011-11-05T04:22:36Z,/* Further explanation */
[[en:Michele Bachmann]],459080029,2011-11-05T03:08:19Z,/* Political positions */
[[en:Political positions of Michele Bachmann]],459079985,2011-11-05T03:07:53Z,[[WP:AES|←]]Created page with '[[Michele Bachmann]] represents Minnesota's 6th district in the United States House of Representatives and is a candidate for the Republican Party's nomination i...'
[[en:Herman Cain]],459073272,2011-11-05T02:02:29Z,"/* Political activities */ I can only imagine how Glenn Beck would react if President Obama said he was George Soros' ""brother from another mother""..."
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",459063519,2011-11-05T00:31:56Z,/* Upcoming straw polls */
[[en:Rick Perry]],458994167,2011-11-04T16:38:40Z,/* Political views */
[[en:Rick Perry]],458993801,2011-11-04T16:36:35Z,/* Political views */
[[en:Political positions of Rick Perry]],458993783,2011-11-04T16:36:26Z,[[WP:AES|←]]Created page with 'Rick Perry is the governor of Texas and a candidate for the Republican Party's 2012 presidential nomination.  == Constitutional issues == Some of Perry's views a...'
[[en:Rick Perry]],458910695,2011-11-04T02:15:31Z,/* Defense and foreign policy */
"[[en:Republican Party presidential primaries, 2012]]",458905622,2011-11-04T01:29:36Z,/* Debate season */
"[[en:Republican Party presidential primaries, 2012]]",458905539,2011-11-04T01:28:42Z,/* Debate season */
[[en:Fred Karger]],458905269,2011-11-04T01:26:22Z,/* Tobacco advocacy */
[[en:Vladimir Zhirinovsky]],458855971,2011-11-03T19:24:49Z,/* Foreign relations */
[[en:Hermanator]],458742172,2011-11-03T01:56:03Z,[[WP:AES|←]]Redirected page to [[Herman Cain]]
[[en:J. D. Gordon]],458732999,2011-11-03T00:40:40Z,
[[en:Nationwide opinion polling for the Republican Party 2012 presidential primaries]],458653508,2011-11-02T16:00:59Z,
[[en:Nationwide opinion polling for the Republican Party 2012 presidential primaries]],458653456,2011-11-02T16:00:35Z,
[[en:Nationwide opinion polling for the Republican Party 2012 presidential primaries]],458653144,2011-11-02T15:58:26Z,
[[en:2011 Georgia terrorist plot]],458645843,2011-11-02T15:05:22Z,
[[en:2011 Georgia terrorist plot]],458645805,2011-11-02T15:05:03Z,
[[en:Herman Cain]],458642297,2011-11-02T14:40:11Z,Undid revision 458641643 by [[Special:Contributions/Cyrrk|Cyrrk]] ([[User talk:Cyrrk|talk]]) How is that irrelevant?
[[en:Militia organizations in the United States]],458642085,2011-11-02T14:38:32Z,/* See also */
[[en:Terrorism in the United States]],458641906,2011-11-02T14:37:19Z,/* 2010-Present */
[[en:2011 Georgia terrorist plot]],458641605,2011-11-02T14:35:04Z,
[[en:2011 Georgia terrorist plot]],458636460,2011-11-02T13:56:59Z,"[[WP:AES|←]]Created page with 'In 2011, the FBI arrested four men in the [[United States|U.S.]] state of [[Georgia (U.S. state)|Georgia]], who were allegedly plotting to deploy [[biological we...'"
[[en:Life Is Beautiful (Vega4 song)]],458575775,2011-11-02T02:58:23Z,
[[en:Solomon Islands skink]],458536051,2011-11-01T22:04:58Z,
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",458527684,2011-11-01T21:15:30Z,/* Upcoming straw polls */
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",458526707,2011-11-01T21:09:40Z,"/* Upcoming straw polls */ LOL @ ""Solyndra Special"""
"[[en:United States presidential election, 2012]]",458487975,2011-11-01T17:08:01Z,/* Candidates */
[[en:TRAP law]],458405364,2011-11-01T03:52:21Z,
[[en:Sister Goldenhair]],458404938,2011-11-01T03:48:25Z,[[WP:AES|←]]Redirected page to [[Sister Golden Hair]]
[[en:Herman Cain]],458228770,2011-10-31T01:54:18Z,/* Career */
"[[en:United States presidential election, 2012]]",458226687,2011-10-31T01:37:20Z,rv the rest of now-blocked user Hermanator1's changes
"[[en:United States presidential election, 2012]]",458212976,2011-10-30T23:59:28Z,"Hermanator1, please read [[WP: 3RR]]"
"[[en:United States presidential election, 2012]]",458212542,2011-10-30T23:56:25Z,Hermanator1 has no consensus for making these changes.
[[en:User talk:Hermanator1]],458212231,2011-10-30T23:54:37Z,
[[en:Wikipedia:Administrators' noticeboard/Incidents]],458212167,2011-10-30T23:54:11Z,/* User:Wrontast */
[[en:Planned Genocide]],458211681,2011-10-30T23:50:40Z,Herman Cain has been referring to Planned Parenthood by this name.
[[en:Political positions of Herman Cain]],458211456,2011-10-30T23:48:55Z,/* Abortion */ more details on Planned Parenthood
[[en:National Federation of Republican Assemblies]],458134107,2011-10-30T15:02:57Z,
"[[en:Rick Santorum presidential campaign, 2012]]",458070517,2011-10-30T03:03:25Z,
"[[en:Statewide opinion polling for the Republican Party presidential primaries, 2012]]",458068980,2011-10-30T02:48:46Z,/*  Iowa (31 Delegates) */ +1
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",458033959,2011-10-29T21:47:57Z,"/* Upcoming straw polls */ these two no longer upcoming, they've happened and results are listed"
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",458031917,2011-10-29T21:31:07Z,"/* October 22, 2011, Columbus, Ohio - Ohio GOP Swing State Straw Poll */ Mitt Romney got 0% in a straw poll? That is just sad..."
[[en:9-9-9]],457987771,2011-10-29T16:19:07Z,9-9-9 is also an emergency telephone number in many countries including the UK
[[en:Political positions of Herman Cain]],457985987,2011-10-29T16:05:20Z,/* Other issues */
[[en:Political positions of Herman Cain]],457984328,2011-10-29T15:51:43Z,/* Other issues */
[[en:Wikipedia:Sockpuppet investigations/Zkc28]],457971420,2011-10-29T13:52:28Z,"/* Clerk, CheckUser, and/or patrolling admin comments */"
[[en:Wikipedia:Sockpuppet investigations/Zkc28]],457969485,2011-10-29T13:32:22Z,"[[WP:AES|←]]Created page with '{{subst:SPI report |checkuser=yes <!-- Please do not enter anything in the subject/headline box!  If you want to request checkuser, simply change the line above ...'"
"[[en:Herman Cain presidential campaign, 2012]]",457968617,2011-10-29T13:24:17Z,/* Others */
[[en:Spokane bombing attempt]],457958127,2011-10-29T11:36:20Z,/* Police investigation and trial */
[[en:User talk:86.180.6.223]],457956511,2011-10-29T11:19:09Z,[[WP:AES|←]]Created page with '{{uw-npa1|Dick Head}} ~~~~'
[[en:Dick Head]],457956450,2011-10-29T11:18:28Z,"Undid revision 457956208 by [[Special:Contributions/86.180.6.223|86.180.6.223]] ([[User talk:86.180.6.223|talk]]) rv what is both vandalism, a cross-space redirect and a personal attack"
[[en:User talk:Difluoroethene]],457955877,2011-10-29T11:13:06Z,/* Vermin Supreme and Stewart J. Greenleaf */
[[en:User talk:Difluoroethene]],457955836,2011-10-29T11:12:48Z,/* Vermin Supreme and Stewart J. Greenleaf */
[[en:Political positions of Herman Cain]],457922282,2011-10-29T03:54:30Z,/* Israel and Palestine */ Talk about delegitimization...
"[[en:Talk:United States presidential election, 2012]]",457917628,2011-10-29T03:06:45Z,/* No FEC Papers */
[[en:Tom Emmer]],457913720,2011-10-29T02:30:26Z,"Undid revision 457830580 by [[Special:Contributions/75.72.187.157|75.72.187.157]] ([[User talk:75.72.187.157|talk]]) It's not an ""ad"", it's an event he hosted that legitimately belongs in a section on his post-election activities"
"[[en:Ron Paul presidential campaign, 2012]]",457912952,2011-10-29T02:22:59Z,/* Endorsements */
"[[en:United States presidential election, 2012]]",457903429,2011-10-29T00:49:44Z,/* Official candidate websites */
[[en:Talk:Richard Head]],457902961,2011-10-29T00:45:37Z,Undid revision 457902682 by [[Special:Contributions/86.178.96.70|86.178.96.70]] ([[User talk:86.178.96.70|talk]]) rvv
[[en:Dick Head]],457902885,2011-10-29T00:45:02Z,rv politically motivated vandalism
"[[en:United States presidential election, 2012]]",457902614,2011-10-29T00:42:37Z,/* Other candidates */
"[[en:United States presidential election, 2012]]",457902054,2011-10-29T00:37:31Z,/* Other candidates */ Added Supreme
"[[en:Talk:United States presidential election, 2012]]",457834894,2011-10-28T15:52:40Z,/* GOP Unleashes TV Ad War WSJ resource */
"[[en:United States presidential election, 2012]]",457834356,2011-10-28T15:48:40Z,/* Independent */
"[[en:United States presidential election, 2012]]",457834142,2011-10-28T15:47:13Z,/* Independent */
[[en:Rocks Off]],457583280,2011-10-27T01:13:34Z,
[[en:Boo! (comic strip)]],457577231,2011-10-27T00:21:59Z,
[[en:In the Light (disambiguation)]],457574167,2011-10-26T23:57:47Z,
"[[en:Talk:Statewide opinion polling for the Republican Party presidential primaries, 2012]]",457569946,2011-10-26T23:21:38Z,/* Minnesota */
[[en:User talk:67.174.21.159]],457419560,2011-10-26T02:09:59Z,
"[[en:Talk:United States presidential election, 2012]]",457418992,2011-10-26T02:04:11Z,/* Twitter resource */
"[[en:Statewide opinion polling for the United States presidential election, 2012]]",457387225,2011-10-25T21:44:13Z,/* {{flagicon|Iowa}}Iowa */
[[en:Herman Cain]],457376050,2011-10-25T20:32:35Z,/* 2006 Republican ad campaign */
[[en:J. Patrick Rooney]],457375957,2011-10-25T20:32:01Z,/* America's  PAC */
[[en:Herman Cain]],457375509,2011-10-25T20:28:57Z,/* 2005–2011 Americans for Prosperity */
[[en:Choke Canyon]],457369210,2011-10-25T19:48:26Z,
[[en:Cathole]],457339345,2011-10-25T16:29:37Z,
[[en:Urban Chipmunk]],457311103,2011-10-25T13:02:43Z,
[[en:If I Were a Carpenter (song)]],457228093,2011-10-24T22:58:07Z,
[[en:Still Water (Love)]],457227996,2011-10-24T22:57:21Z,
[[en:Angular momentum coupling]],457212726,2011-10-24T21:10:02Z,
[[en:Hydrogen selenide]],457212140,2011-10-24T21:06:12Z,/* Safety */
[[en:Vincent Bertollini]],457211563,2011-10-24T21:02:41Z,Rm soapboxing
[[en:Randall Terry]],457211425,2011-10-24T21:01:51Z,Undid revision 456067551 by [[Special:Contributions/74.219.91.210|74.219.91.210]] ([[User talk:74.219.91.210|talk]]) rvv
[[en:Diphosphene]],457156962,2011-10-24T15:09:07Z,
[[en:Beauty in the Beast]],457086184,2011-10-24T02:57:42Z,
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",457078831,2011-10-24T01:47:01Z,Undid revision 457071880 by [[Special:Contributions/108.84.77.107|108.84.77.107]] ([[User talk:108.84.77.107|talk]]) Rv obvious POV push
[[en:Refugee (Tom Petty and the Heartbreakers song)]],457068024,2011-10-24T00:16:30Z,
[[en:Arity]],457067905,2011-10-24T00:15:31Z,
[[en:Urinary bladder]],457067785,2011-10-24T00:14:29Z,/* Urination frequency */
[[en:The Political Cesspool]],457067452,2011-10-24T00:11:30Z,the article no longer mentions that one
[[en:Black Magic Woman]],457066606,2011-10-24T00:04:20Z,
"[[en:Rick Santorum presidential campaign, 2012]]",457059326,2011-10-23T23:04:02Z,
[[en:Godfather's Pizza]],457050085,2011-10-23T21:54:11Z,
[[en:Political positions of Herman Cain]],457049357,2011-10-23T21:49:18Z,/* Israel and Palestine */
[[en:Political positions of Herman Cain]],457049278,2011-10-23T21:48:48Z,/* Israel and Palestine */
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",457048907,2011-10-23T21:46:02Z,"/* March 31, 2011, Manchester, New Hampshire - St. Anselm College Republicans Straw Poll */"
[[en:Jonathan Pollard]],457029138,2011-10-23T19:41:19Z,/* Responses */
[[en:Standing in the Shadows of Love]],457021798,2011-10-23T18:51:41Z,
"[[en:Shake Me, Wake Me (When It's Over)]]",457021725,2011-10-23T18:51:09Z,
[[en:Ask the Lonely]],457021675,2011-10-23T18:50:44Z,
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",457002567,2011-10-23T16:37:40Z,
"[[en:Straw polls for the Republican Party presidential primaries, 2012]]",457000358,2011-10-23T16:22:26Z,
[[en:Wikipedia:Today's featured article/requests]],457000076,2011-10-23T16:20:15Z,/* Northern Bald Ibis */
[[en:The Political Cesspool]],456999181,2011-10-23T16:14:06Z,
[[en:Fred Karger]],456880858,2011-10-22T20:38:25Z,/* Mormonism */
[[en:Fred Karger]],456880767,2011-10-22T20:37:49Z,/* Israel */
[[en:Argyresthia trifasciata]],456616668,2011-10-21T02:20:41Z,
[[en:Argyresthia thuiella]],456616650,2011-10-21T02:20:31Z,
[[en:Argyresthia spinosella]],456616632,2011-10-21T02:20:18Z,
[[en:Argyresthia sorbiella]],456616605,2011-10-21T02:20:06Z,
[[en:Argyresthia semitestacella]],456616578,2011-10-21T02:19:51Z,
[[en:Argyresthia semifusca]],456616559,2011-10-21T02:19:36Z,
[[en:Argyresthia retinella]],456616536,2011-10-21T02:19:24Z,
[[en:Argyresthia pygmaeella]],456616509,2011-10-21T02:19:10Z,
[[en:Argyresthia pruniella]],456616477,2011-10-21T02:18:54Z,
[[en:Argyresthia laevigatella]],456616455,2011-10-21T02:18:42Z,
[[en:Argyresthia goedartella]],456616421,2011-10-21T02:18:27Z,
[[en:Argyresthia glaucinella]],456616395,2011-10-21T02:18:12Z,
[[en:Argyresthia dilectella]],456616366,2011-10-21T02:17:58Z,
[[en:Argyresthia cupressella]],456616335,2011-10-21T02:17:40Z,
[[en:Argyresthia canadensis]],456616266,2011-10-21T02:17:00Z,
[[en:Argyresthia brockeella]],456616237,2011-10-21T02:16:47Z,
[[en:Argyresthia bonnetella]],456616209,2011-10-21T02:16:33Z,
[[en:Argyresthia aurulentella]],456616185,2011-10-21T02:16:20Z,
[[en:Argyresthia arceuthina]],456616159,2011-10-21T02:16:06Z,
[[en:Argyresthia albistria]],456616133,2011-10-21T02:15:52Z,
[[en:Argyresthia conjugella]],456616114,2011-10-21T02:15:37Z,
[[en:Atteva zebrina]],456616086,2011-10-21T02:15:23Z,
[[en:Atteva zebra]],456616065,2011-10-21T02:15:09Z,
[[en:Atteva sidereoides]],456616041,2011-10-21T02:14:54Z,
[[en:Atteva siderea]],456616016,2011-10-21T02:14:39Z,
[[en:Atteva rawlinsi]],456615986,2011-10-21T02:14:17Z,
[[en:Atteva pustulella]],456615949,2011-10-21T02:14:00Z,
[[en:Atteva numeratrix]],456615927,2011-10-21T02:13:49Z,
[[en:Atteva niphocosma]],456615901,2011-10-21T02:13:37Z,
[[en:Atteva megalastra]],456615868,2011-10-21T02:13:24Z,
[[en:Atteva intermedia]],456615850,2011-10-21T02:13:12Z,
[[en:Atteva hysginiella]],456615817,2011-10-21T02:12:58Z,
[[en:Atteva gemmata]],456615787,2011-10-21T02:12:43Z,
[[en:Atteva fulviguttata]],456615760,2011-10-21T02:12:29Z,
[[en:Atteva flavivitta]],456615734,2011-10-21T02:12:16Z,
[[en:Atteva cosmogona]],456615698,2011-10-21T02:11:58Z,
[[en:Atteva charopis]],456615665,2011-10-21T02:11:41Z,
[[en:Ailanthus webworm]],456615629,2011-10-21T02:11:20Z,
[[en:Atteva albiguttata]],456615591,2011-10-21T02:10:55Z,
[[en:Prays xeroloxa]],456615561,2011-10-21T02:10:37Z,
[[en:Prays tyrastis]],456615540,2011-10-21T02:10:22Z,
[[en:Prays temulenta]],456615501,2011-10-21T02:10:02Z,
[[en:Prays sublevatella]],456615475,2011-10-21T02:09:48Z,
[[en:Prays stratella]],456615448,2011-10-21T02:09:33Z,
[[en:Prays sparsipunctella]],456615414,2011-10-21T02:09:16Z,
[[en:Prays ruficeps]],456615390,2011-10-21T02:09:02Z,
[[en:Prays peregrina]],456615365,2011-10-21T02:08:49Z,
[[en:Prays peperitis]],456615326,2011-10-21T02:08:21Z,
[[en:Prays parilis]],456615306,2011-10-21T02:08:08Z,
[[en:Prays oliviella]],456615279,2011-10-21T02:07:53Z,
[[en:Prays oleae]],456615260,2011-10-21T02:07:39Z,
[[en:Prays nephelomima]],456615221,2011-10-21T02:07:24Z,
[[en:Prays moschettinella]],456615182,2011-10-21T02:07:08Z,
[[en:Prays liophaea]],456615136,2011-10-21T02:06:46Z,
[[en:Prays kappa]],456615086,2011-10-21T02:06:22Z,
[[en:Prays iota]],456615053,2011-10-21T02:06:06Z,
[[en:Prays inscripta]],456615041,2011-10-21T02:05:59Z,
[[en:Prays inconspicua]],456615004,2011-10-21T02:05:36Z,
[[en:Prays gamma]],456614983,2011-10-21T02:05:22Z,
[[en:Prays fulvocanella]],456614955,2011-10-21T02:05:07Z,
[[en:Prays fulvocanella]],456614937,2011-10-21T02:04:56Z,
[[en:Prays friesei]],456614914,2011-10-21T02:04:40Z,
[[en:Prays fraxinella]],456614887,2011-10-21T02:04:27Z,
