page,edit_id,timestamp,summary
[[en:John Powell (film composer)]],825053409,2018-02-11T05:50:59Z,
[[en:John Powell (film composer)]],825053376,2018-02-11T05:50:45Z,
[[en:John Powell (film composer)]],825053159,2018-02-11T05:49:05Z,
[[en:Michael Giacchino]],825053133,2018-02-11T05:48:51Z,
[[en:Geoff Zanelli]],825048930,2018-02-11T05:03:47Z,
[[en:Geoff Zanelli]],825048674,2018-02-11T05:00:58Z,
[[en:Mel Gibson]],825035768,2018-02-11T02:51:55Z,
[[en:Dion Beebe]],824725475,2018-02-09T02:49:38Z,
[[en:Roger Deakins]],824724230,2018-02-09T02:38:42Z,
[[en:Dion Beebe]],824723054,2018-02-09T02:27:21Z,
[[en:Matthew Margeson]],824548488,2018-02-08T00:46:47Z,
[[en:Matthew Margeson]],824548428,2018-02-08T00:46:14Z,
[[en:Miss Peregrine's Home for Peculiar Children (film)]],824544211,2018-02-08T00:08:01Z,
[[en:Mike Higham]],824544054,2018-02-08T00:06:41Z,"[[WP:AES|←]]Created page with '{{Infobox musical artist | name = Mike Higham | background = non_performing_personnel | genre = [[Film score]], [[pop music|pop]] | occupation = {{hlist|Record p...'"
[[en:The Great Dictator]],824518681,2018-02-07T20:51:47Z,
[[en:Miami Vice (film)]],823775223,2018-02-03T09:23:51Z,
[[en:Dick Tracy (1990 film)]],823772329,2018-02-03T08:54:38Z,
[[en:The Phantom (1996 film)]],823772140,2018-02-03T08:52:32Z,
[[en:Patrick McGoohan]],823772007,2018-02-03T08:51:08Z,I can't find any verifiable evidence of McGoohan holding American or British citizenship.
[[en:XXx: Return of Xander Cage]],823765420,2018-02-03T07:33:30Z,
[[en:Rich Wilkes]],823765202,2018-02-03T07:30:39Z,
[[en:Geoff Zanelli]],823745563,2018-02-03T03:44:03Z,
[[en:Nick Glennie-Smith]],823745279,2018-02-03T03:41:06Z,
[[en:Miami Vice (film)]],823446119,2018-02-01T08:44:03Z,
[[en:Christophe Beck]],823418541,2018-02-01T03:19:12Z,
[[en:Power Rangers Operation Overdrive]],823388942,2018-01-31T23:39:23Z,
