page,edit_id,timestamp,summary
[[en:User talk:HastyBriar321]],811943147,2017-11-24T23:15:18Z,I AM YOUR GOD!
[[en:User talk:HastyBriar321]],811942863,2017-11-24T23:12:45Z,
[[en:User talk:HastyBriar321]],810386247,2017-11-14T23:00:50Z,/* November 2017 */
[[en:User talk:HastyBriar321]],810386194,2017-11-14T23:00:23Z,/* November 2017 */
[[en:User talk:HastyBriar321]],810195155,2017-11-13T21:40:17Z,/* November 2017 */
[[en:User talk:HastyBriar321]],810189357,2017-11-13T20:58:36Z,
[[en:User talk:HastyBriar321]],810184397,2017-11-13T20:24:34Z,/* November 2017 */
[[en:User talk:HastyBriar321]],810094776,2017-11-13T09:02:20Z,/* November 2017 */
[[en:User talk:HastyBriar321]],810093859,2017-11-13T08:53:41Z,/* November 2017 */
[[en:Timeline of United States history (1990–present)]],810093580,2017-11-13T08:50:31Z,/* 2010s */
[[en:George Piro]],810093533,2017-11-13T08:49:57Z,
[[en:Talk:2017 New York City truck attack]],810093406,2017-11-13T08:48:29Z,/* Requested move 9 November 2017 */
[[en:Futtsu]],810082862,2017-11-13T07:17:24Z,
[[en:Liechelkopf]],810082796,2017-11-13T07:16:48Z,
[[en:Hitting Home (documentary series)]],810082765,2017-11-13T07:16:35Z,
[[en:Burdachia]],810082705,2017-11-13T07:16:06Z,
[[en:Pygmy palm swift]],810082664,2017-11-13T07:15:44Z,
[[en:Klamath Basin Restoration Agreement]],810082639,2017-11-13T07:15:36Z,/* Footnotes */
[[en:Klamath Basin Restoration Agreement]],810082630,2017-11-13T07:15:29Z,
[[en:Verdena Parker]],810082609,2017-11-13T07:15:12Z,
[[en:Frank and Cindy]],810082590,2017-11-13T07:14:59Z,
[[en:Talk:2017 New York City truck attack]],810082524,2017-11-13T07:14:28Z,/* Requested move 9 November 2017 */
[[en:Portal:Current events/2017 October 31]],810080466,2017-11-13T06:55:22Z,
[[en:Ed Gillespie]],810080329,2017-11-13T06:54:09Z,/* 2017 gubernatorial run */
[[en:Lower Manhattan]],810080236,2017-11-13T06:53:21Z,/* 21st century */
[[en:October 31]],810080147,2017-11-13T06:52:23Z,/* Events */
[[en:2017 in the United States]],810080096,2017-11-13T06:51:50Z,/* October */
[[en:List of shootings in Colorado]],810079965,2017-11-13T06:50:37Z,/* List */
[[en:Thornton shooting]],810079857,2017-11-13T06:49:44Z,
[[en:Eaton Township Weis Markets shooting]],810079727,2017-11-13T06:48:34Z,"/* References */ Only three people shot, excluding the shooter."
"[[en:Timeline of the Trump presidency, 2017 Q4]]",810079579,2017-11-13T06:47:11Z,/* Week 37 */
"[[en:Timeline of the Trump presidency, 2017 Q4]]",810079523,2017-11-13T06:46:31Z,/* Week 37 */
"[[en:Timeline of the Trump presidency, 2017 Q4]]",810079452,2017-11-13T06:45:51Z,/* Week 37 */
[[en:List of The Opposition with Jordan Klepper episodes]],810079388,2017-11-13T06:45:20Z,
[[en:Mid-Western Assassin]],810079247,2017-11-13T06:44:16Z,/* Production */
