page,edit_id,timestamp,summary
[[en:Grant Harrold]],831439203,2018-03-20T16:29:22Z,Reverted edits by [[Special:Contribs/Henryjf2018|Henryjf2018]] ([[User talk:Henryjf2018|talk]]) to last version by Hillbillyholiday
[[en:Mischa Barton]],831431482,2018-03-20T15:40:37Z,/* Personal life */ outdated
[[en:Mischa Barton]],831431323,2018-03-20T15:39:43Z,/* Psychiatric confinement */ yet more shitty sources...
[[en:Mischa Barton]],831431169,2018-03-20T15:38:42Z,/* Legal troubles */ relatively minor incidents - primary sources - undue
[[en:Mischa Barton]],831430936,2018-03-20T15:37:09Z,/* Relationships */ abysmal sources
[[en:Heather Locklear]],831430438,2018-03-20T15:34:09Z,/* Relationships */ as of eight years ago..
[[en:Heather Locklear]],831430281,2018-03-20T15:33:15Z,/* Legal troubles */ maybe worth mentioning with secondary sources once the dust has settled
[[en:Heather Locklear]],831429934,2018-03-20T15:31:21Z,/* Legal troubles */ not a legal trouble
[[en:Heather Locklear]],831429864,2018-03-20T15:30:57Z,"/* Legal troubles */ not a ""Legal trouble"" and poorly sourced"
[[en:Heather Locklear]],831429727,2018-03-20T15:30:09Z,/* Legal troubles */ minor incident - undue
[[en:James Nesbitt]],831155515,2018-03-19T01:45:41Z,/* Personal life */ tabloids
[[en:Haley Reinhart]],831099076,2018-03-18T19:04:58Z,"/* Personal life */ trim legal, remove [[WP:FART|farts]]"
[[en:Corey Dillon]],831096975,2018-03-18T18:52:37Z,/* Personal life */ sus?
[[en:Chris Kattan]],831094497,2018-03-18T18:36:10Z,/* Personal life */ undue
[[en:Slava Voynov]],831094243,2018-03-18T18:34:22Z,/* Personal */ uncited
[[en:Evi Quaid]],831093754,2018-03-18T18:30:49Z,/* Personal life */ undue
[[en:Peter Brant II]],831092718,2018-03-18T18:23:51Z,/* Personal life */ tabloid tittle-tattle
[[en:Maria Fowler]],830772430,2018-03-16T21:11:45Z,/* Personal life */ uncited
[[en:Jordin Sparks]],830771222,2018-03-16T21:03:32Z,"/* Personal life */ cut weight trivia, ce"
[[en:Grant Harrold]],830768922,2018-03-16T20:46:14Z,/* 2012 law suit */ tabloids
[[en:Anna Scholz]],830768402,2018-03-16T20:42:24Z,promo
[[en:Max Mosley]],830747256,2018-03-16T18:07:18Z,/* Sex scandal */ originally reported by the Graudian in 1997 (cf. Eyes passim)
[[en:Uri Geller]],830745726,2018-03-16T17:55:41Z,shift sect
[[en:Roy Whiting]],830745102,2018-03-16T17:51:29Z,tag
[[en:Roy Whiting]],830744962,2018-03-16T17:50:31Z,/* Attacks in prison */ uncited/tabloid
[[en:Reese Witherspoon]],830743898,2018-03-16T17:42:33Z,/* Early life */ tmi
[[en:Reese Witherspoon]],830743806,2018-03-16T17:41:48Z,/* Early life */ tabloid
[[en:Reese Witherspoon]],830743691,2018-03-16T17:41:03Z,nonsense
[[en:Monica Cafferky]],830742925,2018-03-16T17:35:23Z,/* Personal life */ uncited
[[en:Reese Witherspoon]],830741807,2018-03-16T17:28:23Z,"please refer to previous discussion, consensus not to include"
[[en:Billy Murray (actor)]],830633847,2018-03-16T01:04:53Z,/* Personal life */ tabloids
[[en:Christopher Floyd]],830632494,2018-03-16T00:54:21Z,/* Notable cases */ dm
[[en:Meera Syal]],830630885,2018-03-16T00:40:19Z,/* Personal life */ tmi/tabloids
[[en:Liam Gallagher]],830630477,2018-03-16T00:36:49Z,/* Personal life */ non-rs/add source
[[en:Liam Gallagher]],830630071,2018-03-16T00:33:43Z,/* Personal life */ uncited/non-rs
[[en:Maria Shriver]],830629468,2018-03-16T00:29:17Z,/* Personal life */ uncited/dm/ce
[[en:Austin Nichols]],830628372,2018-03-16T00:20:22Z,/* Personal life */ trivial/dm
"[[en:David Thomson, 3rd Baron Thomson of Fleet]]",830628235,2018-03-16T00:19:15Z,tag
"[[en:David Thomson, 3rd Baron Thomson of Fleet]]",830628133,2018-03-16T00:18:36Z,/* Personal life */ uncited/dm
[[en:Richard Branson]],830613344,2018-03-15T22:17:59Z,/* Informal dress code */ is a whole section on this really necessary?
[[en:Richard Branson]],830613262,2018-03-15T22:17:10Z,"/* Personal life */ tabloids, ce"
[[en:Richard Branson]],830612436,2018-03-15T22:11:12Z,/* Tax controversies */ tabloids
[[en:Shauna Sand]],830611240,2018-03-15T22:02:34Z,tag
[[en:Shauna Sand]],830611094,2018-03-15T22:01:28Z,/* Personal life */ tabloids
[[en:Bob Khanna]],830610875,2018-03-15T21:59:50Z,tabloids
[[en:Allegra Versace]],830610128,2018-03-15T21:54:04Z,"/* Personal life */ tmi, tabs"
[[en:Stasha Palos]],830609561,2018-03-15T21:49:34Z,/* Early life and education */ tabloids
[[en:Stasha Palos]],830609342,2018-03-15T21:47:55Z,/* Personal life */ tabloid
[[en:Anita Avramides]],830609099,2018-03-15T21:46:10Z,/* Career */ tabloid
[[en:Simone Sheffield]],830608979,2018-03-15T21:45:11Z,tabloids
[[en:Romeo (English rapper)]],830607503,2018-03-15T21:33:33Z,"shift , ce"
[[en:Tamaryn Payne]],830606671,2018-03-15T21:27:15Z,"tag,"
[[en:Abi Phillips]],830606431,2018-03-15T21:25:19Z,/* Personal life */ dm
[[en:David Hunt (gangster)]],830605409,2018-03-15T21:17:10Z,not supported by source
[[en:David Hunt (gangster)]],830605281,2018-03-15T21:16:12Z,cut non-rs
[[en:Sarah Greene (actress)]],830605046,2018-03-15T21:14:20Z,"/* Personal life */ dm, ce"
[[en:David Hunt (gangster)]],830604481,2018-03-15T21:10:23Z,non rs
[[en:David Hunt (gangster)]],830603558,2018-03-15T21:05:12Z,restore - BLP sources
[[en:Bana al-Abed]],830581314,2018-03-15T18:26:34Z,/* Early life */ ce
[[en:Bana al-Abed]],830581034,2018-03-15T18:24:49Z,ce
[[en:Bana al-Abed]],830580638,2018-03-15T18:22:24Z,"shift section, delete some primary stuff"
[[en:Bana al-Abed]],830580043,2018-03-15T18:18:03Z,un- or poorly sourced
[[en:Katy Ashworth]],830568870,2018-03-15T16:53:44Z,fx
[[en:Katy Ashworth]],830568671,2018-03-15T16:52:26Z,tag
[[en:Katy Ashworth]],830568596,2018-03-15T16:51:57Z,fix
[[en:Katy Ashworth]],830568540,2018-03-15T16:51:33Z,/* Personal life */ better sources needed
[[en:Islam in the United Kingdom]],830567082,2018-03-15T16:41:11Z,better source needed for these figures
[[en:Keira Knightley]],830558418,2018-03-15T15:39:53Z,/* Personal life and off-screen work */ tmi
[[en:Reese Witherspoon]],830557634,2018-03-15T15:35:27Z,revert to better version
[[en:User talk:Philip Cross]],830455632,2018-03-14T22:58:16Z,/* Craig Murray */ Not [[Oliver Kamm|O.K.]]?
[[en:User talk:Philip Cross]],830439562,2018-03-14T20:50:01Z,/* Craig Murray */ new section
[[en:Si King]],830437271,2018-03-14T20:32:22Z,cut tabloid irrelevance
[[en:Wikipedia:Articles for deletion/Sufiah Yusof]],830435104,2018-03-14T20:17:14Z,Creating deletion discussion for [[Sufiah Yusof]].
[[en:Nikki Grahame]],830411867,2018-03-14T17:35:06Z,revert to better version
[[en:Shahid Malik]],830409323,2018-03-14T17:16:44Z,BLPSources
[[en:Chanelle Hayes]],830294597,2018-03-13T23:10:57Z,/* Personal life */ BLPsources
[[en:Rachel Riley]],830293149,2018-03-13T23:00:11Z,"sigh, yet again... shift section + remove poorly sourced tittle-tattle"
[[en:Sadaf Taherian]],830291453,2018-03-13T22:47:48Z,ce add source
[[en:Lisa Origliasso]],830290300,2018-03-13T22:40:29Z,/* Personal life */ BLPsources
[[en:Julia Lemigova]],830289150,2018-03-13T22:34:08Z,again
[[en:Julia Lemigova]],830288907,2018-03-13T22:32:48Z,/* Private life */ BLPsources
[[en:Heather Graham]],830288025,2018-03-13T22:27:52Z,/* Personal life */ BLPSOURCES/irrelevance
[[en:Gregor Fisher]],830286869,2018-03-13T22:19:20Z,tag
[[en:Gregor Fisher]],830286829,2018-03-13T22:18:57Z,/* Personal life */ tmi/dm
[[en:Andrea Lowe]],830286411,2018-03-13T22:15:22Z,/* Personal life */ dm
[[en:Anna Ryder Richardson]],830260171,2018-03-13T19:02:38Z,/* Personal life */ dm+outdated
[[en:Anna Ryder Richardson]],830260111,2018-03-13T19:02:11Z,/* Biography */ dm
