page,edit_id,timestamp,summary
page,edit_id,timestamp,summary
[[en:Dana Loesch]],829141319,2018-03-06T22:15:56Z,"/* Early life */ unsourced, I don't see anything supporting these sentences after searching google"
[[en:Burmantofts]],829141040,2018-03-06T22:13:39Z,"wikilink, copyedit"
[[en:Burmantofts]],829140492,2018-03-06T22:09:57Z,"removed advertisement for a club, rearranged lead slightly"
[[en:Curtis Yarvin]],829135387,2018-03-06T21:35:07Z,Undid revision 829129599 by [[Special:Contributions/179.55.54.52|179.55.54.52]] ([[User talk:179.55.54.52|talk]]) still no reason for weasel
[[en:Wikipedia:Reliable sources/Noticeboard]],829121660,2018-03-06T19:50:37Z,/* TheBlaze */  not reliable
[[en:The Hershey Company]],829121037,2018-03-06T19:45:51Z,/* Milton Hershey School (MHS) */ updated the template since section does have one ref now but needs more
[[en:The Hershey Company]],829120473,2018-03-06T19:41:34Z,"/* Milton Hershey School (MHS) */ cleanup, added reference"
[[en:The Hershey Company]],829119764,2018-03-06T19:36:26Z,/* Milton Hershey School (MHS) */ removed opinion
[[en:John Calder]],829119402,2018-03-06T19:33:37Z,/* Biography */ space
[[en:John Calder]],829119315,2018-03-06T19:32:56Z,/* Biography */ expanded ref
[[en:John Calder]],829117893,2018-03-06T19:22:44Z,"/* Biography */ added info about censorship trial, and ref"
[[en:John Calder]],829117024,2018-03-06T19:16:17Z,/* Biography */ slight correction
"[[en:Birchrunville, Pennsylvania]]",829114464,2018-03-06T18:57:52Z,/* Local landmarks */ expanded ref
[[en:Belvidere High School (Illinois)]],829113335,2018-03-06T18:50:14Z,moved tornado stuff to History section
[[en:Belvidere High School (Illinois)]],829113206,2018-03-06T18:49:23Z,typo
[[en:Belvidere High School (Illinois)]],829113174,2018-03-06T18:49:10Z,expanded ref
"[[en:Birchrunville, Pennsylvania]]",829112332,2018-03-06T18:43:49Z,created events section for the July 4th parade
"[[en:Birchrunville, Pennsylvania]]",829112103,2018-03-06T18:42:27Z,/* Local landmarks */ added references
"[[en:Birchrunville, Pennsylvania]]",829111297,2018-03-06T18:37:28Z,"moved local landmarks to the body, trimmed antique store as I can't find any evidence that one existst"
[[en:Carnival of Chaos]],829110559,2018-03-06T18:32:23Z,"punctuation, trim some unsourced fluff"
[[en:Carnival of Chaos]],829110271,2018-03-06T18:30:25Z,/* Overview */ tense
[[en:Carnival of Chaos]],829110123,2018-03-06T18:29:19Z,badly in need of references
[[en:Carnival of Chaos]],829109963,2018-03-06T18:28:11Z,moved some overview stuff into the body and trimmed some fluff
[[en:Martin Vaughan]],829092778,2018-03-06T16:18:42Z,removed opinion
[[en:Mrówczyn]],829078685,2018-03-06T14:25:39Z,Undid revision 641067455 by [[Special:Contributions/80.136.71.51|80.136.71.51]] ([[User talk:80.136.71.51|talk]])
[[en:Korczyców]],829078645,2018-03-06T14:25:19Z,Undid revision 641057737 by [[Special:Contributions/62.155.221.79|62.155.221.79]] ([[User talk:62.155.221.79|talk]])
[[en:Military animal]],829078323,2018-03-06T14:22:34Z,/* For transport and hauling */ extraneous word
[[en:Military mascot]],829078249,2018-03-06T14:22:05Z,/* The Royal Regiment of Scotland */ how does one notably bite a glove?
[[en:II Corps (Poland)]],829078178,2018-03-06T14:21:26Z,/* Composition */ why are these groups more notable?
[[en:II Corps (Poland)]],829077019,2018-03-06T14:11:47Z,/* History */ copyedit
[[en:Belvidere High School (Illinois)]],829072759,2018-03-06T13:30:20Z,added ref
[[en:Belvidere High School (Illinois)]],829072502,2018-03-06T13:27:29Z,"""statue"" usually refers to a sculpture representing humans or animals; this memorial is not a statue"
[[en:Belvidere High School (Illinois)]],829072282,2018-03-06T13:25:04Z,reworded clunky sentence
[[en:Talk:Jared Taylor]],829071778,2018-03-06T13:20:12Z,/* White nationalist removed from lede */
[[en:Grizzly bear]],829070791,2018-03-06T13:10:47Z,/* Conflicts with humans */ removed original research
[[en:Wojtek (bear)]],829070402,2018-03-06T13:06:49Z,/* History */ sounds plausible but I found no evidence supporting this unsourced statement anywhere
[[en:Battle of Monte Cassino]],829069680,2018-03-06T13:00:11Z,undid recent edits that removed some references and were at least partially cut-n-pasted from other articles
[[en:User talk:Diannaa]],828950894,2018-03-05T19:18:57Z,/* LifeVantage Corporation */ new section
[[en:LifeVantage Corporation]],828950423,2018-03-05T19:15:58Z,note
[[en:Protandim]],828950201,2018-03-05T19:14:21Z,new paragraph
[[en:Protandim]],828950150,2018-03-05T19:14:04Z,circular redirect
[[en:LifeVantage Corporation]],828950079,2018-03-05T19:13:36Z,"restored redirect, no explanation given for restoring copyrighted material"
[[en:James Allsup]],828928125,2018-03-05T16:38:05Z,/* Race */ location where he's a professor
[[en:James Allsup]],828928019,2018-03-05T16:37:19Z,/* Race */ some context for who Richard Lynn is
[[en:Texas–Indian wars]],828927400,2018-03-05T16:33:07Z,removed some original research in the lead that is not in the body
[[en:Texas–Indian wars]],828927238,2018-03-05T16:31:51Z,"""this article covers""? no"
[[en:Wikipedia:Articles for deletion/MCTV 26]],828925819,2018-03-05T16:22:28Z,/* MCTV 26 */ merge
[[en:Wikipedia:Articles for deletion/WMPA TV]],828925268,2018-03-05T16:18:43Z,merge
[[en:Wikipedia:Articles for deletion/Roman language]],828923888,2018-03-05T16:08:10Z,/* Roman language */ comment
[[en:Wikipedia:Articles for deletion/Roman language]],828923736,2018-03-05T16:06:59Z,/* Roman language */ keep
[[en:Wikipedia:Articles for deletion/James J. Tedesco III]],828923672,2018-03-05T16:06:20Z,/* James J. Tedesco III */ delete
[[en:Wikipedia:Articles for deletion/2016 shooting of Philadelphia police officer]],828923285,2018-03-05T16:03:39Z,delete
[[en:Wikipedia:Articles for deletion/Stuart Holthusen]],828919857,2018-03-05T15:36:53Z,/* Stuart Holthusen */ delete
[[en:Wikipedia:Articles for deletion/Matt Danilack]],828919631,2018-03-05T15:35:04Z,/* Matt Danilack */ delete
[[en:Wikipedia:Articles for deletion/Enbian]],828919433,2018-03-05T15:33:27Z,/* Enbian */
[[en:Weavering]],828919054,2018-03-05T15:30:14Z,/* History of Weavering */ reword
[[en:Nikolaus Ritt]],828919019,2018-03-05T15:29:49Z,including
[[en:Munduruku language]],828918486,2018-03-05T15:25:48Z,/* Coda */ removed opinion
[[en:Harry Manfredini]],828918384,2018-03-05T15:25:07Z,removed perhaps
[[en:History of Cumbria]],828918302,2018-03-05T15:24:35Z,/* Prehistoric Cumbria */ removed extraneous words
[[en:Romanov Tercentenary]],828917805,2018-03-05T15:20:28Z,/* Symbolism */ reworded
[[en:James Allsup]],828917361,2018-03-05T15:16:35Z,"/* Students for Rand */ sticking to what source says, removed original research"
[[en:James Allsup]],828916256,2018-03-05T15:07:23Z,/* Participation in Unite the Right rally */  a little less ambiguous by including the direct twitter quote
[[en:Broadway Through a Keyhole]],828910366,2018-03-05T14:16:18Z,removed speculation
[[en:Kei Igawa]],828909913,2018-03-05T14:12:13Z,/* 2010–2011 */ Igawa Igawa
[[en:2009 World Baseball Classic]],828909788,2018-03-05T14:11:05Z,brevity
[[en:2009 World Baseball Classic]],828909735,2018-03-05T14:10:40Z,The 2009 tournament was not the only tournament in which this was true; each WBC has this distinction. Removed
[[en:Abraham Atencio]],828909580,2018-03-05T14:09:31Z,redundant sentence removed
[[en:Abraham Atencio]],828909481,2018-03-05T14:08:42Z,removed opinion
"[[en:Zgoda, Warmian-Masurian Voivodeship]]",828909435,2018-03-05T14:08:18Z,Undid revision 640832251 by [[Special:Contributions/80.136.74.137|80.136.74.137]] ([[User talk:80.136.74.137|talk]])
[[en:1942 South American Championship]],828909367,2018-03-05T14:07:45Z,minor grammar
[[en:James Allsup]],828909201,2018-03-05T14:06:23Z,over half of these first 7 sources describe Allsup as a white supremacist
[[en:James Allsup]],828908811,2018-03-05T14:03:16Z,revert vandalism
[[en:Wikipedia:Articles for deletion/Log/2018 March 5]],828905741,2018-03-05T13:38:13Z,Adding [[Wikipedia:Articles for deletion/Hachia]]
[[en:Wikipedia:Articles for deletion/Hachia]],828905700,2018-03-05T13:37:57Z,Creating deletion discussion for [[Hachia]]
[[en:Hachi]],828904860,2018-03-05T13:30:54Z,non-existent
[[en:Jared Taylor]],828904106,2018-03-05T13:24:31Z,"moved ""white nationalist"" and sources to body, per extensive talk page discussion and consensus"
[[en:Talk:Jared Taylor]],828903944,2018-03-05T13:23:04Z,/* White nationalist removed from lede */
[[en:Helmet (band)]],828903365,2018-03-05T13:17:53Z,/* Early years (1989–1991) */ fixed ref
[[en:St. Peter's Basilica]],828902802,2018-03-05T13:12:54Z,Undid revision 828884873 by [[Special:Contributions/87.204.44.144|87.204.44.144]] ([[User talk:87.204.44.144|talk]]) disagree that this is a better photo
[[en:Mario Yamasaki]],828598635,2018-03-03T15:53:24Z,revert unsourced anon IP vandalism and other unsupported changes
[[en:Talk:Jared Taylor]],828598353,2018-03-03T15:51:17Z,/* White nationalist removed from lede */ format
[[en:Talk:Jared Taylor]],828598282,2018-03-03T15:50:49Z,/* White nationalist removed from lede */
[[en:Cell (film)]],828299575,2018-03-01T19:24:53Z,Undid revision 828294085 by [[Special:Contributions/168.9.35.207|168.9.35.207]] ([[User talk:168.9.35.207|talk]]) rv
[[en:Stepnica]],828285897,2018-03-01T17:41:19Z,"article is about one village, not the history of territorial changes in Poland"
[[en:Karsibór]],828285755,2018-03-01T17:40:08Z,"redundant, already in the first sentence"
[[en:Karsibór]],828285664,2018-03-01T17:39:32Z,Undid revision 638474294 by [[Special:Contributions/62.155.193.141|62.155.193.141]] ([[User talk:62.155.193.141|talk]])
"[[en:Zalipie, Lower Silesian Voivodeship]]",828285467,2018-03-01T17:37:58Z,Undid revision 640978922 by [[Special:Contributions/62.155.200.150|62.155.200.150]] ([[User talk:62.155.200.150|talk]])
[[en:Darnków]],828285321,2018-03-01T17:36:50Z,"article is about one village, not the history of territorial changes in Poland"
[[en:Wiejkowo]],828285137,2018-03-01T17:35:34Z,/* History */ copyedit
[[en:Trzebawie]],828284652,2018-03-01T17:31:35Z,/* History */ unsourced claim
