page,edits,total,percent
North American Union,124,1560,7.95
RWBY,107,1984,5.39
Krista Branch,92,214,42.99
Gamergate controversy,70,5993,1.17
List of RWBY episodes,68,1318,5.16
7 World Trade Center,62,3290,1.88
9/11 conspiracy theories,56,13014,0.43
List of Pretty Little Liars characters,56,4671,1.20
September 11 attacks,51,18669,0.27
Great Recession,47,4383,1.07
Zeitgeist: The Movie,46,3999,1.15
Violentacrez,45,156,28.85
Wikimedia UK,42,198,21.21
Kosovo independence precedent,38,420,9.05
List of RWBY characters,36,1700,2.12
Giordano's Pizzeria,35,181,19.34
Lee Harvey Oswald,34,9097,0.37
The Host (2013 film),33,693,4.76
2008 Andean diplomatic crisis,31,916,3.38
2008 Russo-Georgian diplomatic crisis,30,399,7.52
The Fine Young Capitalists,29,358,8.10
1948 Arab–Israeli War,28,6154,0.45
International recognition of Kosovo,27,10416,0.26
Deaths in 2013,26,22531,0.12
Hayley Williams,25,4727,0.53
Sosie Bacon,25,165,15.15
Emily Thorne,25,515,4.85
Bai Yansong,23,71,32.39
Alicia Keys,23,8680,0.26
Bad Girls Club (season 10),22,2977,0.74
Russo-Georgian War,21,13231,0.16
2008 unrest in Kosovo,21,107,19.63
2008 unrest in Bolivia,21,132,15.91
Wikipediocracy,21,692,3.03
Elon Musk,21,5096,0.41
Fifty Shades of Grey,21,1363,1.54
Jamie Foxx,20,4701,0.43
Harlem Renaissance,20,7106,0.28
Ashley Benson,20,2186,0.91
The Hunger Games (film),20,5959,0.34
"Kosovan local elections, 2008",19,70,27.14
Life of Pi,19,2966,0.64
Rosewood Hotels & Resorts,19,101,18.81
Race and intelligence,19,12398,0.15
Moneybomb,19,665,2.86
Suits (U.S. TV series),19,3239,0.59
9/11 Truth movement,19,5148,0.37
Template:Did you know nominations/Pricasso,18,95,18.95
Treaty of Lisbon,18,5654,0.32
Avatar: The Last Airbender,18,15491,0.12
Anita Sarkeesian,18,1477,1.22
Charlie Engle (marathoner),18,78,23.08
Oreo,18,5970,0.30
Pretty Little Liars,18,6419,0.28
Amanda Filipacchi,18,448,4.02
General Hospital's 50th anniversary,18,45,40.00
Halle Berry,18,6988,0.26
Dallas,17,9139,0.19
International Court of Justice advisory opinion on Kosovo's declaration of independence,17,756,2.25
Life of Pi (film),17,2118,0.80
Lea Michele,17,5623,0.30
Zack Snyder,17,2316,0.73
LL Cool J,17,5299,0.32
Les Misérables (2012 film),16,3447,0.46
Nicole Scherzinger,16,12701,0.13
Kristen Stewart,16,5145,0.31
Revolution (TV series),16,2449,0.65
Ang Lee,16,2282,0.70
