user,edits
Koavf,1846504
Bearcat,962869
WhisperToMe,482369
Gene93k,450075
Fortdj33,402074
Ronhjones,395413
Ronhjones,395413
TAnthony,392023
TAnthony,392023
TonyTheTiger,368015
Johnpacklambert,339433
Keith D,288131
Mandarax,270741
Kante4,263697
Ss112,249101
Binksternet,245822
TenPoundHammer,234882
Drmies,234512
Jaguar,205849
Muboshgu,205037
Mjroots,202084
Marcocapelle,200879
Tbhotch,196743
Pigsonthewing,189440
Pigsonthewing,189440
Cs-wolves,183573
Epicgenius,176546
Epicgenius,176546
Epicgenius,176546
Epicgenius,176546
AnemoneProjectors,166584
AnemoneProjectors,166584
Number 57,165343
Ulric1313,159697
Fayenatic london,158113
Dawnseeker2000,155882
Martarius,154047
Attilios,153122
AussieLegend,150883
The Bushranger,145237
The Bushranger,145237
JMHamo,141240
SMcCandlish,140012
Neddyseagoon,139074
Neddyseagoon,139074
Neddyseagoon,139074
Neddyseagoon,139074
Neddyseagoon,139074
OOODDD,135503
Klemen Kocjancic,133167
DH85868993,132916
TheFarix,130266
Juliancolton,128871
Salavat,125947
Wgolf,124714
J Milburn,122392
Arthur Rubin,119163
Necrothesp,117881
Moe Epsilon,117879
Cyphoidbomb,113715
Thumperward,113579
KConWiki,113221
IronGargoyle,111831
Jax 0677,110935
TexasAndroid,109350
JForget,108664
Rschen7754,108641
QuasyBoy,107487
Treybien,106772
Rtkat3,105795
Ktr101,104342
FreeKnowledgeCreator,101570
Juhachi,100613
Juhachi,100613
Juhachi,100613
JJMC89,99904
Auric,99581
Jeff G.,98677
Aleksandr Grigoryev,98601
BDD,98242
Bsuorangecrush,98049
Debresser,97811
Skyblueshaun,97020
Titodutta,96763
Titodutta,96763
Titodutta,96763
Ianblair23,96228
WilliamJE,95936
Dough4872,94579
Dough4872,94579
Vanjagenije,93483
Everymorning,93127
Impru20,92127
This is Paul,91661
Wtmitchell,91062
ZappaOMati,90413
ZappaOMati,90413
Davey2010,90142
YUL89YYZ,89234
UtherSRG,88226
STATicVapor,86664
Qed237,86244
Magog the Ogre,85058
K6ka,84268
K6ka,84268
HJ Mitchell,84172
RA0808,82379
AustralianRupert,82189
Arbero,81735
Chrisdoyleorwell,80767
Acntx,80587
Dwanyewest,80447
CAWylie,80096
Sjones23,79752
Sjones23,79752
SNUGGUMS,78943
SNUGGUMS,78943
Dismas,78783
Bleaney,78567
The-Pope,78191
Peter Horn,77798
Peter Horn,77798
Sundostund,76213
Raymarcbadz,76119
Zackmann08,75946
Zackmann08,75946
Lds,75754
Lds,75754
Ritchie333,74774
CeeGee,74326
AlexTheWhovian,72792
AlexTheWhovian,72792
MBK004,72668
Randykitty,72288
Useight,71693
OlEnglish,71550
Amaury,70335
Rubbish computer,70327
Babymissfortune,69922
Babymissfortune,69922
Orderinchaos,69129
Neutralhomer,68930
Neutralhomer,68930
Neutralhomer,68930
Bearian,68732
Joseph A. Spadaro,68564
Rcsprinter123,68052
Rcsprinter123,68052
Rcsprinter123,68052
Rcsprinter123,68052
Hwy43,67092
MYS77,66976
Dabomb87,66454
Dissident93,66277
Frickeg,66119
Magiciandude,65595
Timeshift9,65431
Jogurney,65353
Timbouctou,64886
Bashereyre,64580
117Avenue,64354
Naraht,64148
GoPurpleNGold24,63559
GoPurpleNGold24,63559
Steam5,63102
IllaZilla,63013
Kailash29792,61052
Kailash29792,61052
Sabrebd,60628
Conquistador2k6,59596
Knowledgekid87,59151
Tjmayerinsf,58637
Anotherclown,58141
Ihardlythinkso,57687
Mrschimpf,57513
Ericorbit,57354
Tavix,57326
Emeraude,57239
Jprg1966,56652
OnBeyondZebrax,56603
Tintor2,56381
Favre1fan93,56342
Chrishmt0423,55730
Spiderjerky,55126
DRAGON BOOSTER,54675
Manxruler,54561
Canysp,54524
Drbogdan,54450
Tinucherian,54176
Tinucherian,54176
Joe Vitale 5,54137
Loremaster,53963
Typ932,53819
Apparition11,53331
Yunshui,53213
Mark Staffieri,52932
Pjoef,52622
Pjoef,52622
Aristophanes68,52621
Shshshsh,52435
Shshshsh,52435
Pdfpdf,52366
WLU,52235
Gen. Quon,52079
IndianBio,51621
EricEnfermero,51465
Mike Cline,51276
Eagle4000,51001
Polylerus,50575
Robert Moore,49903
Neveselbert,49522
Ira Leviton,49313
Prayerfortheworld,48959
CanadianLinuxUser,48756
Vensatry,48422
Yulia Romero,48263
Yulia Romero,48263
Ssven2,48187
Keroks,48043
Adam9007,47946
Anaxial,47924
Drm310,47899
Drm310,47899
JayJasper,47626
Jojhutton,47286
MB298,47195
Freikorp,47159
TriiipleThreat,47034
TriiipleThreat,47034
Giso6150,46349
Mz7,45927
Ruslik0,45776
Canuckian89,45540
Canuckian89,45540
Dexterfung,45204
Hassocks5489,45034
SuperMarioMan,44910
Philip J Fry,44763
Disavian,44523
Disavian,44523
Disavian,44523
Vchimpanzee,44483
Judgesurreal777,44257
Judgesurreal777,44257
Judgesurreal777,44257
Giants27,44173
Huntster,43995
Huntster,43995
Tomcat7,43911
Italia2006,43908
Canglesea,43846
Lil-unique1,43347
Hometown Kid,43311
Hariboneagle927,43177
Johnny Au,42780
Wesley Wolf,42630
Wesley Wolf,42630
Elockid,42430
Elockid,42430
Elockid,42430
Elockid,42430
Elockid,42430
Elockid,42430
Elockid,42430
Elockid,42430
Tentinator,42150
Tentinator,42150
Matej1234,41919
Ejgreen77,41773
Bine Mai,41666
Fetchcomms,41593
Jack Cox,41457
Allstarecho,41096
Sesshomaru,40876
Gihan Jayaweera,40852
Gihan Jayaweera,40852
Lordtobi,40473
Falcadore,40136
Typhoon2013,39902
Keivan.f,39793
Dsimic,39664
Ferret,39620
Phil Boswell,39455
EVula,39066
Gunkarta,39052
S.A. Julio,38950
Zawl,38800
EmanWilm,38560
Rajasekhar1961,38033
Satellizer,38016
Satellizer,38016
Simplexity22,38013
LightandDark2000,37675
Laurel Lodged,37653
Eagleash,37419
Ost316,37137
Capankajsmilyo,37044
SL93,36848
Squids and Chips,36728
Teb728,36677
Zanoni,36262
GSS,36128
GSS,36128
EnDaLeCoMpLeX,35891
The Man in Question,35683
Midnightdreary,35550
MECU,35358
Jedi94,35153
CrazyC83,35015
Skr15081997,34996
Non-dropframe,34943
Vaselineeeeeeee,34757
Narutolovehinata5,34703
Sims2aholic8,34542
FreeRangeFrog,34528
Linguist111,34486
Linguist111,34486
Ssolbergj,34356
Tomica,34247
Josh the newcastle fan,34244
DBigXray,34104
Soetermans,34077
MRD2014,34018
Efe,33857
LuK3,33802
LuK3,33802
LuK3,33802
Svick,33717
Jwkozak91,33710
1Sire,33506
Dawkeye,33474
Esanchez7587,33395
Esanchez7587,33395
HonorTheKing,33385
Aeusoes1,33185
Hersfold,33142
Hersfold,33142
Quidster4040,32917
Quidster4040,32917
Chris troutman,32544
Victor Lopes,32437
Kges1901,32214
Phantomsteve,32132
Phantomsteve,32132
Mediran,32100
Mediran,32100
Snowflake91,32096
Amalthea,31820
AgnosticPreachersKid,31798
Keraunos,31791
Lewismaster,31773
Dan Koehl,31722
Greenock125,31530
Night Time,31402
Scottandrewhutchins,31358
Hichem algerino,31301
Hichem algerino,31301
Mentoz86,31288
Mentoz86,31288
SchrutedIt08,31136
Floydian,30943
Floydian,30943
Landingdude13,30881
GMc,30858
Davykamanzi,30851
Davykamanzi,30851
Davykamanzi,30851
"Abraham, B.S.",30729
Animum,30489
Alastair Haines,30428
Jokulhlaup,30370
Cobaltbluetony,30362
Bedford,30278
Timeshifter,30059
Crash Underride,30012
Fourthords,29963
Checkingfax,29944
Musdan77,29767
GlassCobra,29701
Ugog Nizdast,29671
TBrandley,29649
Thricecube,29553
Spitfire,29507
Pratyya Ghosh,29389
Pratyya Ghosh,29389
AKS.9955,29381
Underbar dk,29325
TParis,29260
Alessandro57,29088
Eruditescholar,29010
Eruditescholar,29010
Pelotas,28860
Mabuska,28802
Nightfall87,28796
Saint9016,28709
Rst20xx,28661
Masum Ibn Musa,28639
Masum Ibn Musa,28639
GeoffreyT2000,28522
Truthanado,28512
Anupam,28427
Nichalp,28407
Happy-melon,28145
Happy-melon,28145
GTHO,28061
Purplebackpack89,28011
Faizhaider,27914
Faizhaider,27914
Eyesnore,27902
IJA,27775
GWFrog,27654
Kelisi,27563
Lumos3,27490
Vami IV,27469
Jeffro77,27438
Ad Orientem,27409
Parutakupiu,27372
Jethwarp,27334
Myxomatosis57,27220
Silver seren,27214
Amit6,27141
