page,edit_id,timestamp,summary
[[en:Love at first sight]],777320430,2017-04-26T13:58:40Z,
[[en:History of role-playing games]],770144292,2017-03-13T18:00:36Z,
[[en:History of role-playing games]],770144200,2017-03-13T17:59:55Z,
[[en:Heat wave]],650906096,2015-03-11T14:25:53Z,
[[en:Great Migration (African American)]],648812221,2015-02-25T17:17:38Z,
[[en:Template:Narcissism]],647739371,2015-02-18T18:04:30Z,Undid revision 647739231 by [[Special:Contributions/204.13.204.162|204.13.204.162]] ([[User talk:204.13.204.162|talk]])
[[en:Template:Narcissism]],647739231,2015-02-18T18:03:07Z,
[[en:Osteichthyes]],646702572,2015-02-11T21:23:42Z,/* Characteristics */
[[en:List of countries by literacy rate]],592211362,2014-01-24T18:54:06Z,
[[en:List of countries by literacy rate]],592209233,2014-01-24T18:41:00Z,/* List */
[[en:Howard Carter (evangelist)]],592059539,2014-01-23T18:59:46Z,/* 20s */
[[en:Howard Carter (evangelist)]],592059483,2014-01-23T18:59:22Z,/* 60s */
[[en:Strath Haven High School]],592018005,2014-01-23T13:08:01Z,
[[en:Strath Haven High School]],592017802,2014-01-23T13:05:37Z,
[[en:Strath Haven High School]],592017745,2014-01-23T13:04:52Z,
[[en:Mohawk Airlines]],590088562,2014-01-10T16:09:55Z,/* History */
[[en:Beresfield rail accident]],589786242,2014-01-08T16:19:58Z,Removed editorialization
[[en:János Starker]],589466708,2014-01-06T17:27:16Z,
[[en:Causes of the French Revolution]],528830152,2012-12-19T17:52:54Z,
[[en:The Cask of Amontillado]],526521818,2012-12-05T14:35:06Z,/* External links */
[[en:The Cask of Amontillado]],526521721,2012-12-05T14:34:27Z,/* Publication history */
[[en:The Raven]],526341032,2012-12-04T15:04:12Z,/* Synopsis */
[[en:The Cask of Amontillado]],526340256,2012-12-04T14:57:29Z,/* Plot summary */
[[en:Allyson Schwartz]],526339780,2012-12-04T14:53:21Z,/* U.S. House of Representatives */
[[en:Maple (software)]],525167462,2012-11-27T17:08:37Z,/* Fourier transform */
[[en:Maple (software)]],525167400,2012-11-27T17:08:13Z,/* Laplace transform */
[[en:Maple (software)]],525167326,2012-11-27T17:07:37Z,/* Animation of functions */
[[en:Maple (software)]],525167269,2012-11-27T17:07:17Z,/* Animation of functions */ Fixed formatting
[[en:Wolfram Mathematica]],525166318,2012-11-27T17:00:22Z,/* Interface */ explained last sentence
[[en:Talk:Wolfram Mathematica]],525165649,2012-11-27T16:55:30Z,/* Mathematica page suffering from a pro-Wolfram bias again */ Fixed conflict of interest links
[[en:Jean-Paul Sartre]],524948974,2012-11-26T13:46:33Z,/* As public intellectual */ Changed citation format
[[en:Jean-Paul Sartre]],524948653,2012-11-26T13:43:26Z,/* As public intellectual */ Changed citation format
[[en:Friedrich Nietzsche]],524948015,2012-11-26T13:37:33Z,/* Reading and influence */
[[en:Cmd.exe]],524042902,2012-11-20T16:39:07Z,/* Technical information */
[[en:Cmd.exe]],524042237,2012-11-20T16:35:13Z,/* Technical information */ Made more accessable to the layman
[[en:CHKDSK]],524041073,2012-11-20T16:28:39Z,/* Windows NT-based CHKDSK */
